"Trophoblast.stem.cells";"Glycinergic.neurons";"Oxyphil.cells";"Pulmonary.vascular.smooth.muscle.cells";"Hemangioblasts";"His.bundle.cells";"Trophoblast.progenitor.cells";"Airway.epithelial.cells";"Airway.smooth.muscle.cells";"T.cells.naive";"Osteocytes";"Purkinje.fiber.cells";"Trichocytes";"Vascular.smooth.muscle.cells";"Cholinergic.neurons";"Kidney.progenitor.cells";"Adrenergic.neurons";"Juxtaglomerular.cells";"Noradrenergic.neurons";"Osteoclast.precursor.cells";"Parathyroid.chief.cells";"Reticulocytes";"Serotonergic.neurons";"T.cytotoxic.cells";"Myofibroblasts";"Spermatozoa";"Decidual.cells";"Gastric.chief.cells";"Glutaminergic.neurons";"Urothelial.cells";"Enterochromaffin.cells";"Ionocytes";"Nuocytes";"Red.pulp.macrophages";"Retinal.progenitor.cells";"T.follicular.helper.cells";"Follicular.cells";"Motor.neurons";"Parietal.cells";"Radial.glia.cells";"Salivary.mucous.cells";"GABAergic.neurons";"Pancreatic.progenitor.cells";"Crypt.cells";"Merkel.cells";"Peri.islet.Schwann.cells";"Endothelial.cells..blood.brain.barrier.";"Enteric.glia.cells";"Hepatoblasts";"Myeloid.derived.suppressor.cells";"Cardiac.stem.and.precursor.cells";"Ciliated.cells";"Epiblast.cells";"Granulosa.cells";"Meningeal.cells";"Taste.receptor.cells";"Dopaminergic.neurons";"Pluripotent.stem.cells";"T.regulatory.cells";"Choroid.plexus.cells";"Spermatocytes";"Undefined.placental.cells";"Adipocyte.progenitor.cells";"Thymocytes";"Transient.cells";"Clara.cells";"Foveolar.cells";"Natural.killer.T.cells";"Pinealocytes";"Satellite.glial.cells";"Chromaffin.cells";"Intercalated.cells";"Sebocytes";"Erythroblasts";"Myoepithelial.cells";"Peritubular.myoid.cells";"Neuroendocrine.cells";"Tanycytes";"Glomus.cells";"Luteal.cells";"Oligodendrocyte.progenitor.cells";"Eosinophils";"Gamma..PP..cells";"Pancreatic.stellate.cells";"Airway.goblet.cells";"Langerhans.cells";"Trophoblast.cells";"Alveolar.macrophages";"Myoblasts";"Delta.cells";"Microfold.cells";"Pyramidal.cells";"Stromal.cells";"Anterior.pituitary.gland.cells";"Pulmonary.alveolar.type.I.cells";"Goblet.cells";"Immature.neurons";"Tuft.cells";"Bergmann.glia";"Gamma.delta.T.cells";"Melanocytes";"Cholangiocytes";"Ductal.cells";"Principal.cells";"Satellite.cells";"Hepatic.stellate.cells";"Mammary.epithelial.cells";"Trigeminal.neurons";"Epsilon.cells";"Pulmonary.alveolar.type.II.cells";"Alpha.cells";"Enteroendocrine.cells";"Keratinocytes";"Luminal.epithelial.cells";"Megakaryocytes";"Schwann.cells";"Distal.tubule.cells";"Kupffer.cells";"Osteoclasts";"Neuroblasts";"Acinar.cells";"Chondrocytes";"Loop.of.Henle.cells";"Beta.cells";"Müller.cells";"Paneth.cells";"Photoreceptor.cells";"Basal.cells";"Leydig.cells";"Mesangial.cells";"Mesothelial.cells";"Neural.stem.precursor.cells";"Plasmacytoid.dendritic.cells";"Ependymal.cells";"Purkinje.neurons";"Astrocytes";"T.helper.cells";"T.memory.cells";"Osteoblasts";"Pericytes";"B.cells.memory";"B.cells.naive";"Enteric.neurons";"Retinal.ganglion.cells";"Sertoli.cells";"Monocytes";"Microglia";"Neutrophils";"Basophils";"Cajal.Retzius.cells";"Erythroid.like.and.erythroid.precursor.cells";"Smooth.muscle.cells";"Proximal.tubule.cells";"Embryonic.stem.cells";"Plasma.cells";"Hematopoietic.stem.cells";"Oligodendrocytes";"Myocytes";"NK.cells";"Podocytes";"Endothelial.cells..aorta.";"Cardiomyocytes";"B.cells";"T.cells";"Adipocytes";"Platelets";"Dendritic.cells";"Olfactory.epithelial.cells";"Epithelial.cells";"Macrophages";"Enterocytes";"Hepatocytes";"Mast.cells";"Germ.cells";"Fibroblasts";"Endothelial.cells";"Neurons";"Interneurons"
"tfap2c";"slc6a9";"slc2a4";"angpt1";"etv2";"gja5";"isg20";"aqp1";"nog";"cd3d";"sost";"gja5";"krt86";"acta2";"chat";"osr1";"th";"trpv4";"th";"mitf";"kl";"ruvbl1";"tph1";"cd2";"cdh11";"abhd2";"xcl1";"anpep";"slc17a7";"trpv1";"reg4";"foxi1";"icos";"hmox1";"pax6";"bcl6";"ttf1";"isl1";"cd24";"pax6";"smgc";"slc6a1";"onecut1";"kcne3";"chga";"mpz";"abcg2";"gfra3";"afp";"itgam";"myh6";"sec14l3";"nanog";"amh";"foxc1";"tas1r1";"th";"prmt8";"foxp3";"ttr";"capn1";"batf3";"cebpa";"notch1";"slc26a4";"syt2";"muc1";"il12rb2";"asmt";"glul";"slc26a4";"foxi1";"camp";"cga";"sfn";"sat2";"ppp1r1b";"gpr50";"drd2";"akt1";"cspg4";"c3ar1";"ppy";"timp1";"muc5b";"ache";"cd4";"chil3";"myog";"pdx1";"gp2";"cd3e";"mmp1";"aga";"mmp11";"creb3l1";"pax6";"sucnr1";"gfap";"gnly";"ahr";"sstr2";"cftr";"aqp2";"pax7";"adamts13";"csn2";"crebrf";"ghrl";"irx1";"gcg";"npsr1";"calml5";"fgfr2";"itga2b";"mpz";"cldn8";"tnf";"sost";"ntng1";"ctrb1";"prg4";"cldn16";"gcgr";"tlr2";"defa5";"rcvrn";"krt5";"hsd11b2";"pdgfb";"calb2";"sox1";"cd4";"foxj1";"calb1";"s100b";"ifng";"sell";"slc6a6";"pecam1";"cd38";"cd19";"hivep3";"prkca";"kitlg";"rgs1";"itgam";"mme";"cd69";"reln";"hbb-bs";"acta2";"aqp1";"myc";"sdc1";"thy1";"galc";"actc1";"itgam";"podxl";"itga5";"tnnc1";"cd2";"cd3d";"slc36a2";"ccl5";"il6";"ano2";"cd24";"itgal";"gata4";"fosl1";"kit";"egfr";"il1r1";"pecam1";"eno2";"calb1"
"";"slc32a1";"gcm2";"pdgfrb";"t";"gjc1";"foxo4";"adh7";"acta2";"cd4";"pfn1";"b3gat1";"dsg2";"myh11";"slc18a3";"pax2";"ddc";"ren";"ddc";"nfkb1";"casr";"tfrc";"slc6a4";"cd27";"des";"hvcn1";"igfbp1";"bhlha15";"slc17a6";"nat1";"afp";"cftr";"il1rl1";"treml4";"calb2";"cd3d";"slc6a4";"mnx1";"podxl";"slc1a3";"scgb2b27";"gabbr2";"pdx1";"kcnq1";"krt20";"egfl8";"gfap";"mpz";"alb";"fut4";"wt1";"ccdc153";"pou5f1";"mcam";"foxc2";"tas1r2";"slc6a3";"ncoa5";"ikzf2";"kl";"jakmip1";"dio3";"egfr";"cd38";"car12";"cyp2e1";"anxa10";"il17ra";"adrb1";"gfap";"agrp";"slc26a11";"ihh";"tfrc";"acta2";"lamc3";"clasp2";"drd2";"nos1";"lhcgr";"pdgfra";"fut4";"scgn";"rgs5";"muc16";"cd1a";"ttpa";"plet1";"lif";"ffar4";"spib";"dlg4";"mmp2";"angpt1";"icam1";"nlrp6";"pclo";"fabp1";"gdf10";"ptgds";"mc1r";"slc4a2";"hnf1b";"scnn1a";"dmd";"cygb";"csn1s2a";"prkx";"anxa13";"egfl6";"ttr";"ffar3";"cd24";"fgg";"gp1ba";"itgb4";"slc12a3";"lyz";"zbtb7a";"tshz1";"klk1";"tnc";"cldn8";"jph3";"il6";"mmp7";"pdc";"krt17";"mafb";"pdgfrb";"muc16";"prom1";"cd8a";"trim71";"abat";"slc1a2";"il2";"ccr7";"vdr";"pdgfrb";"cd80";"cd2";"plekha5";"ngf";"amh";"apobec3a";"itgax";"itgam";"il3ra";"diablo";"alas2";"cnn1";"cldn2";"foxd3";"irf4";"mpl";"mog";"fhl2";"itgax";"adamts13";"tmtc2";"adm";"cd5";"cd3g";"p2rx5";"vegfa";"cd86";"rarg";"ceacam1";"itgam";"lypd8";"eppk1";"enpp3";"pou5f1";"fap";"icam1";"rbfox3";"cck"
"";"";"";"";"tal1";"kcnk3";"tfap2c";"cdh1";"foxf1";"sell";"efnb2";"gjc1";"krt81";"pdgfrb";"ache";"eya1";"dbh";"th";"dbh";"nfkb2";"vdr";"ucp3";"fev";"cd28";"palld";"gpr55";"xcl2";"rab3d";"grin1";"upk1b";"slc18a1";"ascl3";"rora";"cd86";"six6";"cd4";"kcnip3";"isl2";"kcnq1";"pdgfd";"scgb1b27";"gad1";"ptf1a";"olfm4";"fli1";"gfra1";"gpr37l1";"lgi4";"cebpa";"cd33";"tbx18";"dynlt1c";"eras";"kitl";"bmp7";"tas1r3";"foxa2";"trim32";"cd4";"sostdc1";"smcp";"dkkl1";"fgf10";"cxcr4";"rhbg";"scgb1a1";"muc5ac";"il12rb1";"tph1";"ednrb";"igf2";"clcnkb";"crhr1";"cdh1";"cnn1";"apoa1";"mkl2";"dio2";"phox2b";"hsd3b1";"sox10";"fcer2";"fxyd2";"spon2";"ltf";"fcgr1a";"tnfrsf9";"il1b";"ngf";"sst";"pglyrp1";"camk2a";"mmp9";"chga";"ctgf";"muc5ac";"cux2";"pou2f3";"gjb6";"gzmb";"pmel";"sctr";"krt20";"aqp3";"cdh1";"pparg";"btn1a1";"prdm12";"phgr1";"cebpa";"glp1r";"scn3a";"flg";"krt18";"itgb3";"lamc1";"umod";"mpo";"sema4d";"sp9";"rbpjl";"crtac1";"umod";"cd40";"cnr2";"agr2";"nrl";"bcl2";"aldh1a1";"acta2";"krt5";"igf1r";"cd40";"six3";"grin1";"gfap";"tbx21";"cd4";"lrp4";"cspg4";"cd84";"cd72";"igf2bp3";"pou4f2";"inhbb";"cd7";"c5ar1";"itgax";"ccr3";"st3gal5";"hexa";"hexim1";"dpp4";"pou5f1";"cd38";"kit";"olig1";"acta1";"fcgr3a";"lcn2";"nr1d1";"alcam";"ms4a1";"cd3e";"lep";"pecam1";"cd83";"lrrc45";"st6gal1";"cd14";"nlrp6";"ucp2";"il2ra";"tfap2c";"fli1";"itgb3";"chat";"chat"
"";"";"";"";"";"";"";"sec14l3";"gata5";"ccr7";"pdpn";"kcnk3";"dsg4";"sema3d";"slc5a7";"wt1";"pnmt";"ren1";"slc18a2";"tnfrsf11a";"fgfr1";"folr1";"tph2";"cd5";"acta2";"abca1";"ctsw";"lep";"grin2b";"piezo1";"lmx1a";"cyp2f2";"il17rb";"nr1h3";"rho";"cd84";"tshr";"chat";"ptch1";"gli3";"scgb2b26";"gadd45b";"cxcr4";"prom1";"cd99";"olfml2a";"slc13a4";"rgs16";"krt14";"ceacam8";"fut4";"fam161a";"cdh1";"bok";"zic1";"p2rx7";"kcnj6";"prdm14";"il2ra";"clic6";"gkap1";"dusp9";"gsc";"tnf";"hepacam2";"foxm1";"tff1";"klrb1";"sag";"bdkrb2";"snap25";"slc4a1";"calca";"wrn";"ca3";"mylip";"fxyd7";"col23a1";"th";"cyp11a1";"olig2";"c5ar1";"scgb2a1";"gem";"scgb3a1";"hla-dma";"star";"wfdc21";"igf2";"pcsk9";"ccl9";"grm1";"tlr3";"cpeb4";"sema3b";"muc2";"slc12a5";"siglecf";"gria4";"s100b";"ptgds";"krt7";"muc1";"kcnj1";"erbb2";"pdgfra";"btn2a2";"dhcr24";"bmp4";"nkx2-1";"arx";"neurog3";"kprp";"ankrd30a";"mpl";"s100b";"jag1";"vsig4";"kcnma1";"sp8";"ptf1a";"creb3l2";"fabp4";"hamp";"vegfa";"defa1";"nr2e3";"krt14";"slc9a8";"tns1";"krt6a";"sp8";"cd80";"usp18";"gad1";"bysl";"dpp4";"ccr5";"egfl6";"anpep";"cd86";"il2ra";"arhgap26";"nhlh2";"shbg";"tet2";"cx3cr1";"cd14";"enpp3";"isoc1";"aqp1";"tagln";"enpep";"fut4";"prdm1";"prom1";"olig2";"tnni1";"cd69";"vegfa";"hfe";"nppa";"cr2";"hopx";"ucp1";"fcgr2a";"cd1a";"rab3b";"itgb4";"fut4";"krt20";"gck";"fcer2";"dazl";"cela1";"sele";"th";"vsx2"
"";"";"";"";"";"";"";"";"";"";"fgf23";"nefm";"krt37";"tbx18";"tac1";"six2";"slc18a2";"akr1b7";"slc18a3";"traf6";"cyp27b1";"ube2o";"ddc";"cd69";"gfap";"slc31a1";"il32";"lgr5";"gls";"umodl1";"trpa1";"scgb1a1";"il7r";"slc11a1";"six3";"il6r";"tg";"vsx2";"shh";"notch3";"mucl2";"pax2";"isl1";"lgr5";"gnai1";"gulp1";"slc19a1";"aldh1a1";"dlk1";"il4r";"kitlg";"tmem212";"epcam";"adamts1";"zic3";"cck";"nr4a2";"fgf4";"entpd1";"slc4a10";"spata33";"fthl17a";"mmp3";"cd1d";"insrr";"cyp2f2";"foxq1";"rora";"gngt1";"tgfa";"slc18a2";"slc26a4";"f2rl1";"cd44";"mme";"tmem98";"dpf1";"slc16a2";"hmox2";"ephx2";"matn4";"cxcr3";"gpc5-as1";"dynlt1";"dcpp1";"hla-dmb";"hopx";"bglap3";"angpt2";"rbp4";"ehf";"grm5";"mme";"ddx26b";"gramd2";"slc9a8";"pomc";"cdhr2";"grm3";"fgfbp2";"slc45a2";"kcnn2";"onecut1";"avpr2";"pax3";"rgs5";"btn3a1";"calca";"hmgcs2";"muc1";"pou3f4";"ffar1";"icam1";"slpi";"lat";"pou3f1";"calb1";"prok2";"tnfrsf11b";"prok2";"try4";"runx2";"aqp1";"ezh1";"slc38a5";"defa6";"sag";"tp63";"kiss1";"sfrp2";"des";"gfap";"cd83";"cetn4";"hdac6";"aldh1l1";"klrd1";"cd69";"mmp13";"acta2";"nt5e";"mme";"ttbk2";"rnu1-1";"gata1";"cd40";"p2ry12";"fut4";"fcer1a";"smoc2";"ccna2";"rgs5";"slc36a2";"cd24";"cd93";"flt3";"tf";"tnni2";"klrd1";"slc2a4";"pkn3";"fgf2";"cd22";"ccl3";"cidea";"cd36";"cr2";"kcnc4";"il1r1";"fcgr3a";"myo1a";"lrp5";"il17a";"magea4";"lox";"vcam1";"calb1";"en1"
"";"";"";"";"";"";"";"";"";"";"";"";"hoxc13";"wt1";"brca1";"sall1";"npff";"acta2";"slc6a2";"trem2";"lrp2";"cd36";"slc18a2";"cd8a";"tns1";"ldhc";"trdc";"kcnq1";"meis2";"ivl";"fgf1";"foxn4";"crlf2";"adgre1";"nefh";"slamf1";"iyd";"en1";"hip1r";"vcam1";"krt14";"slc32a1";"nkx2-2";"ephb2";"vil1";"slitrk6";"slc23a2";"l1cam";"cdh1";"ccr2";"nkx2-5";"usmg5";"cldn6";"lox";"aldh1a2";"kcnq1";"lmx1b";"nanog";"sell";"htr2c";"notch3";"h19";"pparg";"cd2";"clcnkb";"ctse";"sult1c2";"itgb2";"gngt2";"epor";"snapin";"atp6v1b1";"klf5";"klf1";"cd109";"cyp1b1";"penk";"lhx2";"ndufa4l2";"sfrp4";"c1ql1";"ccr1";"cmtm8";"pdgfrb";"dmbt1";"hla-dqa1";"s100p";"ccl3";"ache";"pax4";"anxa5";"tbr1";"pecam1";"gh";"scnn1b";"otogl";"stim2";"avil";"ntsr2";"nkg7";"mlana";"itgb4";"ambp";"scnn1g";"myf5";"ppara";"mmp14";"calcb";"tm4sf5";"cldn18";"nkx2-2";"arx";"ivl";"prom1";"plek";"gfap";"pvalb";"stard5";"ptpra";"ascl1";"cela3a";"acan";"cldn10";"ntrk1";"slc38a3";"csf2";"rho";"cdh3";"pde8a";"ecm1";"cdh1";"rbm3";"lilra4";"aqp4";"prkg1";"cd40";"cxcr3";"itgb5";"gper1";"des";"pax5";"abcb4";"astn1";"atf6b";"gata4";"dysf";"p2rx7";"fcgr3a";"tlr4";"dync1i1";"pklr";"wfdc1";"slc5a1";"itga4";"cd27";"slamf1";"olig3";"tnnt1";"il2rb";"nlrp3";"sult1a1";"nppb";"fcer2";"ccl4";"prdm16";"itga2b";"tlr9";"manea";"prom1";"cd33";"pparg";"slc10a1";"crh";"ddx4";"pdgfrb";"mcam";"calb2";"etv1"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"acly";"cited1";"slc12a7";"myh11";"slc39a11";"cysltr1";"pth";"itga4";"esm1";"gzmb";"cald1";"prkaa2";"klrc1";"egfr";"slc17a8";"slc14a1";"piezo2";"tfcp2l1";"arg1";"mertk";"lgr5";"cd40lg";"asgr1";"evx1";"hamp";"hes5";"prol1";"gad2";"epas1";"ascl2";"piezo2";"vgll3";"slc38a3";"cxcl14";"foxm1";"cd1d";"isl1";"ccdc181";"cldn7";"fhl1";"alx4";"kcnh2";"cacna2d2";"pou5f1";"nt5e";"aqp1";"gcna";"las1l";"twist2";"cd1a";"col18a1";"muc5b";"ptgr1";"egr1";"rom1";"tnf";"pnmt";"slc4a8";"exo1";"bcl11a";"krt14";"kcnmb1";"grm5";"ptn";"cox4i2";"plin5";"gpr37l1";"ccr3";"arx";"krt10";"wfdc18";"hla-dqa2";"adam19";"g0s2";"adam12";"resp18";"sox8";"pou3f1";"itga4";"igsf1";"sema3e";"itln1";"rax";"espn";"itih3";"prf1";"mitf";"ggt6";"hhex";"hsd11b2";"cdh15";"foxf1";"tox3";"vwa5a";"olfml3";"ager";"resp18";"nkx2-2";"tgm1";"krt19";"s100a9";"mag";"pgam2";"msr1";"tnfrsf11a";"dll3";"prss1";"col2a1";"cldn19";"pdx1";"il33";"lyz";"rom1";"krt6b";"lep";"angpt2";"has2";"sox3";"cd86";"celsr2";"atp2b2";"slc1a3";"ccr1";"bcl2";"runx2";"rgs5";"ptprc";"adam28";"cacna1e";"snx16";"dhh";"cmklr1";"cd40";"pecam1";"ltc4s";"nhlh2";"lox";"notch3";"slc6a18";"cdh1";"enpp1";"cxcr4";"sox10";"tnnt3";"klrb1";"synpo";"tmtc1";"tnni3";"cd40";"gimap2";"lhx8";"gp1ba";"cd1c";"pacrg";"cdh1";"fcgr1a";"slc15a1";"nos2";"hsd11b1";"zar1";"p4ha1";"procr";"isl1";"evx1"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"syt1";"cnn1";"slc9b2";"tlr4";"rab3a";"slc11a2";"slc22a3";"trac";"myl9";"hspa2";"prl";"prkcz";"slc1a1";"upk3a";"adgrg4";"slc12a2";"gata3";"ccr3";"sag";"cxcr5";"prlr";"evx2";"kcne2";"olig2";"pip";"vip";"arx";"bmi1";"id2";"gfra3";"tnfrsf19";"dkk3";"ggt1";"fcgr3a";"gata4";"ces1d";"fgf15";"inha";"igf2";"gnat3";"cadps2";"msh2";"itgae";"slc16a2";"tp73";"ldoc1";"gata3";"cd4";"slc43a2";"scgb3a2";"gsdma2";"map3k8";"crx";"il6";"rapgef2";"aqp6";"crh";"bpgm";"krt17";"rarres2";"sfxn5";"slc17a8";"il1r1";"bhmt";"gpr17";"cd244";"etv1";"cygb";"dcpp3";"hla-dqb1";"cyp24a1";"cxcl2";"tpm2";"hhex";"mier3";"emx1";"icam3";"mest";"scnn1g";"aqp3";"cul5";"lrmp";"a2m";"klrf1";"tyr";"cftr";"anxa4";"fxyd4";"cxcr4";"alb";"cdh1";"prrxl1";"asgr1";"lamp3";"pyy";"sct";"krt1";"sytl2";"s100a8";"olig1";"wnk4";"tlr9";"mmp9";"sall3";"amy2a2";"comp";"slc12a1";"slc2a2";"rdh10";"pla2g2a";"crx";"mettl5";"cxcl10";"fgf1";"krt7";"s100b";"il3ra";"aqp1";"pde5a";"fgfr3";"ccr5";"grap2";"nf2";"abcc9";"spib";"bach2";"tub";"irx5";"ar";"mefv";"trem2";"cd33";"cpa3";"clstn2";"arg1";"rprm";"slc6a19";"abcg2";"klf4";"tek";"gjc2";"tnnc1";"cd244";"nphs1";"she";"tnnt2";"cd69";"syt3";"epsti1";"spn";"cd209";"pde1c";"krt1";"cd80";"flot2";"atp7b";"cd274";"tesmin";"ucp2";"tek";"epo";"gad1"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"tagln";"odf1";"cst7";"chia";"slc1a2";"upk1a";"adm";"clcnkb";"ptgds";"spic";"rax";"tnfsf4";"tpo";"fgf1";"hdc";"gfap";"mucl1";"sst";"neurog3";"hopx";"trpv4";"insc";"tnfrsf21";"ints6";"hnf4a";"icam1";"etv2";"foxj1";"slc35d3";"hsd3b1";"vtn";"trpm5";"chrna6";"zfp819";"tnfrsf4";"slc4a2";"pgk2";"mbnl3";"gli1";"cd5";"tmem117";"sftpc";"pla2g1b";"nr4a1";"cngb1";"mapk1";"serpine1";"atp6v1c2";"cebpb";"ets1";"egfr";"gstm3";"tac1";"col25a1";"tnfrsf1a";"pgam1";"kcnip3";"ptgdr2";"ppy2p";"ctgf";"lipf";"hla-dqb2";"lif";"mcemp1";"eno3";"isl1";"nfic";"fezf2";"itgav";"nktr";"scnn1a";"cdon";"hivep2";"trpm5";"ptch1";"hopx";"tyrp1";"cckbr";"spp1";"apela";"foxk1";"nr1h4";"ffar1";"ppp1r1c";"cox6a2";"sfta2";"pcsk2";"cck";"krt5";"cd74";"pf4";"tst";"sgms2";"ppara";"acp5";"draxin";"spink1";"matn3";"defb1";"nkx6-2";"slitrk2";"prss1";"pde6g";"anxa11";"ptch1";"ctgf";"me1";"slc1a3";"ccr7";"gfap";"itpr3";"gjb6";"tnfsf11";"tbc1d10c";"lrp5";"kcnj8";"adam28";"bank1";"filip1";"ydjc";"gdnf";"hck";"tmem119";"sell";"itgal";"tmem163";"hbb";"des";"slc6a20b";"podxl";"ms4a4a";"abcb1";"gamt";"tnnc2";"klrk1";"nphs2";"itgbl1";"ankrd1";"cd70";"notch3";"mc2r";"cd46";"lamp3";"gadl1";"krt7";"lilrb4";"apobec1";"hnf4a";"cxcr2";"tex101";"ccr2";"flt4";"csf3";"isl1"
